rule_name,rule_categories,rule_source,coverage,inspection_ids,inspection_names,inspection_severities,analysis_constructor,implementation,fixtures,test_spec,test_cases,gap_class,divergence_or_reason
PrecisionLoss,CODE-QUALITY,https://github.com/input-output-hk/Cardano-CWE-Research/blob/main/rules/PrecisionLoss.md,direct,PLU-STAN-16,Precision loss: division before multiplication,Warning,PrecisionLossDivisionBeforeMultiply,src/Stan/Analysis/Analyser.hs:analysePrecisionLossDivisionBeforeMultiply,target/Target/PlutusTx.hs,plustan16Spec,6,,
EmptyStringADACheck,CODE-QUALITY,https://github.com/input-output-hk/Cardano-CWE-Research/blob/main/rules/EmptyStringADACheck.md,direct,PLU-STAN-24,Empty string used to detect ADA,Style,FindAst,src/Stan/Inspection/AntiPattern.hs (declarative FindAst pattern),target/Target/PlutusTx.hs,plustan24Spec,3,,
UnstableMakeIsData,SECURITY,https://github.com/input-output-hk/Cardano-CWE-Research/blob/main/rules/UnstableMakeIsData.md,direct,PLU-STAN-23,unstableMakeIsData assigns unstable constructor indices,Warning,UnstableMakeIsDataUsage,src/Stan/Analysis/Analyser.hs:analyseUnstableMakeIsDataUsage,target/Target/PlutusTx.hs,plustan23Spec,2,,
ZipWithoutLengthCheck,CODE-QUALITY;SECURITY,https://github.com/input-output-hk/Cardano-CWE-Research/blob/main/rules/ZipWithoutLengthCheck.md,direct,PLU-STAN-26,zip without a length check,Warning,ZipWithoutLengthCheck,src/Stan/Analysis/Analyser.hs:analyseZipWithoutLengthCheck,target/Target/PlutusTx.hs,plustan26Spec,5,,Length check matched per zipped list; zipWith args fall back to a definition-wide length test
MissingAddressValidation,SECURITY,https://github.com/input-output-hk/Cardano-CWE-Research/blob/main/rules/MissingAddressValidation.md,narrower,PLU-STAN-22,TxOut validation misses address checks,Warning,MissingTxOutAddressCheck,src/Stan/Analysis/Analyser.hs:analyseMissingTxOutAddressCheck,target/Target/PlutusTx.hs,plustan22Spec,3,trigger-gate,Only fires when >=3 of the 5 TxOut fields are already checked; the rule fires on absence of txOutAddress generally. A validator that checks nothing at all is flagged by the rule and silent here.
MissingStakingValidation,SECURITY,https://github.com/input-output-hk/Cardano-CWE-Research/blob/main/rules/MissingStakingValidation.md,narrower,PLU-STAN-14;PLU-STAN-04,TxOut validation misses staking credential checks;Usage of eq instance of ScriptHash/PublicKeyHash/Credential,Warning;Warning,MissingTxOutStakingCredentialCheck;FindAst,src/Stan/Analysis/Analyser.hs:analyseMissingTxOutStakingCredentialCheck;src/Stan/Inspection/AntiPattern.hs (declarative FindAst pattern),target/Target/PlutusTx.hs,plustan14Spec;plustan04Spec,18;4,trigger-gate,PLU-STAN-14 only fires when >=3 of the 5 TxOut fields are already checked. PLU-STAN-04 covers the related hash-vs-Address comparison that leaks staking rewards.
UnvalidatedReferenceScript,PERFORMANCE,https://github.com/input-output-hk/Cardano-CWE-Research/blob/main/rules/UnvalidatedReferenceScript.md,narrower,PLU-STAN-13,TxOut validation misses reference script checks,Warning,MissingTxOutReferenceScriptCheck,src/Stan/Analysis/Analyser.hs:analyseMissingTxOutReferenceScriptCheck,target/Target/PlutusTx.hs,plustan13Spec,21,trigger-gate,Only fires when >=3 of the 5 TxOut fields are already checked.
UnvalidatedDatum,SECURITY,https://github.com/input-output-hk/Cardano-CWE-Research/blob/main/rules/UnvalidatedDatum.md,narrower,PLU-STAN-19,TxOut validation misses datum checks,Warning,MissingTxOutDatumCheck,src/Stan/Analysis/Analyser.hs:analyseMissingTxOutDatumCheck,target/Target/PlutusTx.hs,plustan19Spec,12,trigger-gate,Only fires when >=3 of the 5 TxOut fields are already checked.
TrashTokens,PERFORMANCE;SECURITY,https://github.com/input-output-hk/Cardano-CWE-Research/blob/main/rules/TrashTokens.md,narrower,PLU-STAN-15,TxOut validation misses value checks,Warning,MissingTxOutValueCheck,src/Stan/Analysis/Analyser.hs:analyseMissingTxOutValueCheck,target/Target/PlutusTx.hs,plustan15Spec,11,trigger-gate,"Only fires when >=3 of the 5 TxOut fields are already checked; the rule's leq/geq subset comparisons are not detected (those names are local operator bindings in the analyser, not Plutus value functions)."
UncheckedRedeemer,SECURITY,https://github.com/input-output-hk/Cardano-CWE-Research/blob/main/rules/UncheckedRedeemer.md,narrower,PLU-STAN-25,Script-input dependency without a redeemer check,Warning,ScriptInputDependencyWithoutRedeemer,src/Stan/Analysis/Analyser.hs:analyseScriptInputDependencyWithoutRedeemer,target/Target/PlutusTx.hs,plustan25Spec,5,scope-limited,"Matches source text within a top-level definition rather than resolved names, so it also matches tokens in comments and strings; the script-input helper names it recognises are a fixed list. Reference inputs are not treated as a dependency: they carry no redeemer, so no redeemer check could ever cover them."
